Day,Price,Short_MA,Long_MA
0,40.59989929199219,,
1,40.59989929199219,,
2,40.59989929199219,,
3,40.59989929199219,,
4,40.59989929199219,40.59989929199219,
5,40.59989929199219,40.59989929199219,
6,40.59989929199219,40.59989929199219,
7,40.59989929199219,40.59989929199219,
8,40.59989929199219,40.59989929199219,
9,40.59989929199219,40.59989929199219,40.59989929199219
10,40.59989929199219,40.59989929199219,40.59989929199219
11,40.59989929199219,40.59989929199219,40.59989929199219
12,40.59989929199219,40.59989929199219,40.59989929199219
13,65.20999908447266,45.52191925048828,43.060909271240234
14,65.20999908447266,50.443939208984375,45.52191925048828
15,65.20999908447266,55.36595916748047,47.98292922973633
16,65.20999908447266,60.28797912597656,50.443939208984375
17,65.20999908447266,65.20999908447266,52.90494918823242
18,65.20999908447266,65.20999908447266,55.36595916748047
19,65.20999908447266,65.20999908447266,57.826969146728516
20,65.20999908447266,65.20999908447266,60.28797912597656
21,65.20999908447266,65.20999908447266,62.74898910522461
22,65.20999908447266,65.20999908447266,65.20999908447266
23,65.20999908447266,65.20999908447266,65.20999908447266
24,65.20999908447266,65.20999908447266,65.20999908447266
25,65.20999908447266,65.20999908447266,65.20999908447266
26,65.20999908447266,65.20999908447266,65.20999908447266
27,65.20999908447266,65.20999908447266,65.20999908447266
28,65.20999908447266,65.20999908447266,65.20999908447266
29,65.20999908447266,65.20999908447266,65.20999908447266
30,65.20999908447266,65.20999908447266,65.20999908447266
31,65.20999908447266,65.20999908447266,65.20999908447266
32,65.20999908447266,65.20999908447266,65.20999908447266
33,65.20999908447266,65.20999908447266,65.20999908447266
34,65.20999908447266,65.20999908447266,65.20999908447266
35,65.20999908447266,65.20999908447266,65.20999908447266
36,65.20999908447266,65.20999908447266,65.20999908447266
37,65.20999908447266,65.20999908447266,65.20999908447266
38,65.20999908447266,65.20999908447266,65.20999908447266
39,65.20999908447266,65.20999908447266,65.20999908447266
40,65.20999908447266,65.20999908447266,65.20999908447266
41,65.20999908447266,65.20999908447266,65.20999908447266
42,65.20999908447266,65.20999908447266,65.20999908447266
